"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
35637,239,"GBR","United Kingdom",2,"Northern Ireland",118,"Banbridge","","","District","District"
35638,239,"GBR","United Kingdom",2,"Northern Ireland",119,"Belfast","","","District","District"
35639,239,"GBR","United Kingdom",2,"Northern Ireland",120,"Carrickfergus","","","District","District"
35640,239,"GBR","United Kingdom",2,"Northern Ireland",121,"Castlereagh","","","District","District"
35641,239,"GBR","United Kingdom",2,"Northern Ireland",122,"Coleraine","","","District","District"
35642,239,"GBR","United Kingdom",2,"Northern Ireland",123,"Cookstown","","","District","District"
35643,239,"GBR","United Kingdom",2,"Northern Ireland",124,"Craigavon","","","District","District"
35644,239,"GBR","United Kingdom",2,"Northern Ireland",125,"Derry","","Londonderry","District","London Borough (city)"
35645,239,"GBR","United Kingdom",2,"Northern Ireland",126,"Down","","","District","District"
35646,239,"GBR","United Kingdom",2,"Northern Ireland",127,"Dungannon","","","District","District"
35647,239,"GBR","United Kingdom",2,"Northern Ireland",128,"Fermanagh","","","District","District"
35648,239,"GBR","United Kingdom",2,"Northern Ireland",129,"Larne","","","District","District"
35649,239,"GBR","United Kingdom",2,"Northern Ireland",130,"Limavady","","","District","District"
35650,239,"GBR","United Kingdom",2,"Northern Ireland",131,"Lisburn","","","District","District"
35651,239,"GBR","United Kingdom",2,"Northern Ireland",132,"Magherafelt","","","District","District"
35652,239,"GBR","United Kingdom",2,"Northern Ireland",133,"Moyle","","","District","District"
35653,239,"GBR","United Kingdom",2,"Northern Ireland",134,"Newry and Mourne","","Mourne","District","District"
35654,239,"GBR","United Kingdom",2,"Northern Ireland",135,"Newtownabbey","","","District","District"
35655,239,"GBR","United Kingdom",2,"Northern Ireland",136,"North Down","","","District","District"
35656,239,"GBR","United Kingdom",2,"Northern Ireland",137,"Omagh","","","District","District"
35657,239,"GBR","United Kingdom",2,"Northern Ireland",138,"Strabane","","","District","District"
37412,239,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","","","London Borough","London Borough"
37413,239,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","","","Unitary Authority","Unitary Authority"
37414,239,"GBR","United Kingdom",1,"England",3,"Bedfordshire","","","Administrative County","Administrative County"
37415,239,"GBR","United Kingdom",1,"England",4,"Berkshire","","","County","County"
37416,239,"GBR","United Kingdom",1,"England",5,"Bexley","","","London Borough","London Borough"
37417,239,"GBR","United Kingdom",1,"England",6,"Blackburn with Darwen","","Blackburn, Blackburn and Darwen","Unitary Authority","Unitary Authority"
37418,239,"GBR","United Kingdom",1,"England",7,"Bournemouth","","","Unitary Authority","Unitary Authority"
37419,239,"GBR","United Kingdom",1,"England",8,"Brent","","","London Borough","London Borough"
37420,239,"GBR","United Kingdom",1,"England",9,"Brighton and Hove","","","Unitary Authority","Unitary Authority"
37421,239,"GBR","United Kingdom",1,"England",10,"Bristol","","","Unitary Authority (city)","Unitary Authority (city)"
37422,239,"GBR","United Kingdom",1,"England",11,"Bromley","","","London Borough","London Borough"
37423,239,"GBR","United Kingdom",1,"England",12,"Buckinghamshire","","","Administrative County","Administrative County"
37424,239,"GBR","United Kingdom",1,"England",13,"Cambridgeshire","","","Administrative County","Administrative County"
37425,239,"GBR","United Kingdom",1,"England",14,"Camden","","","London Borough","London Borough"
37426,239,"GBR","United Kingdom",1,"England",15,"Cheshire","","","Administrative County","Administrative County"
37427,239,"GBR","United Kingdom",1,"England",16,"Cornwall","","Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly","Administrative County","Administrative County"
37428,239,"GBR","United Kingdom",1,"England",17,"Croydon","","","London Borough","London Borough"
37429,239,"GBR","United Kingdom",1,"England",18,"Cumbria","","","Administrative County","Administrative County"
37430,239,"GBR","United Kingdom",1,"England",19,"Darlington","","","Unitary Authority","Unitary Authority"
37431,239,"GBR","United Kingdom",1,"England",20,"Derby","","","Unitary Authority (city)","Unitary Authority (city)"
37432,239,"GBR","United Kingdom",1,"England",21,"Derbyshire","","","Administrative County","Administrative County"
37433,239,"GBR","United Kingdom",1,"England",22,"Devon","","","Administrative County","Administrative County"
37434,239,"GBR","United Kingdom",1,"England",23,"Dorset","","","Administrative County","Administrative County"
37435,239,"GBR","United Kingdom",1,"England",24,"Durham","","County Durham","Administrative County","Administrative County"
37436,239,"GBR","United Kingdom",1,"England",25,"Ealing","","","London Borough","London Borough"
37437,239,"GBR","United Kingdom",1,"England",26,"East Riding of Yorkshire","","East Riding, East Yorkshire","Unitary Authority","Unitary Authority"
37438,239,"GBR","United Kingdom",1,"England",27,"East Sussex","","","Administrative County","Administrative County"
37439,239,"GBR","United Kingdom",1,"England",28,"Enfield","","","London Borough","London Borough"
37440,239,"GBR","United Kingdom",1,"England",29,"Essex","","","Administrative County","Administrative County"
37441,239,"GBR","United Kingdom",1,"England",30,"Gloucestershire","","","Administrative County","Administrative County"
37442,239,"GBR","United Kingdom",1,"England",31,"Greenwich","","","London Borough","London Borough"
37443,239,"GBR","United Kingdom",1,"England",32,"Hackney","","","London Borough","London Borough"
37444,239,"GBR","United Kingdom",1,"England",33,"Halton","","","Unitary Authority","Unitary Authority"
37445,239,"GBR","United Kingdom",1,"England",34,"Hammersmith and Fulham","","","London Borough","London Borough"
37446,239,"GBR","United Kingdom",1,"England",35,"Hampshire","","Southampton","Administrative County","Administrative County"
37447,239,"GBR","United Kingdom",1,"England",36,"Haringey","","","London Borough","London Borough"
37448,239,"GBR","United Kingdom",1,"England",37,"Harrow","","","London Borough","London Borough"
37449,239,"GBR","United Kingdom",1,"England",38,"Hartlepool","","","Unitary Authority","Unitary Authority"
37450,239,"GBR","United Kingdom",1,"England",39,"Havering","","","London Borough","London Borough"
37451,239,"GBR","United Kingdom",1,"England",40,"Herefordshire","","","Unitary Authority (county)","Unitary Authority (county)"
37452,239,"GBR","United Kingdom",1,"England",41,"Hertfordshire","","","Administrative County","Administrative County"
37453,239,"GBR","United Kingdom",1,"England",42,"Hillingdon","","","London Borough","London Borough"
37454,239,"GBR","United Kingdom",1,"England",43,"Hounslow","","","London Borough","London Borough"
37455,239,"GBR","United Kingdom",1,"England",44,"Isle of Wight","","","Unitary Authority","Unitary Authority"
37456,239,"GBR","United Kingdom",1,"England",45,"Islington","","","London Borough","London Borough"
37457,239,"GBR","United Kingdom",1,"England",46,"Kensington and Chelsea","","","London Borough (royal)","London Borough (royal)"
37458,239,"GBR","United Kingdom",1,"England",47,"Kent","","","Administrative County","Administrative County"
37459,239,"GBR","United Kingdom",1,"England",48,"Kingston upon Hull","","Hull","Unitary Authority (city)","Unitary Authority (city)"
37460,239,"GBR","United Kingdom",1,"England",49,"Kingston upon Thames","","","London Borough (royal)","London Borough (royal)"
37461,239,"GBR","United Kingdom",1,"England",50,"Lambeth","","","London Borough","London Borough"
37462,239,"GBR","United Kingdom",1,"England",51,"Lancashire","","","Administrative County","Administrative County"
37463,239,"GBR","United Kingdom",1,"England",52,"Leicester","","","Unitary Authority (city)","Unitary Authority (city)"
37464,239,"GBR","United Kingdom",1,"England",53,"Leicestershire","","","Administrative County","Administrative County"
37465,239,"GBR","United Kingdom",1,"England",54,"Lewisham","","","London Borough","London Borough"
37466,239,"GBR","United Kingdom",1,"England",55,"Lincolnshire","","","Administrative County","Administrative County"
37467,239,"GBR","United Kingdom",1,"England",56,"London","","","London Borough (city)","London Borough (city)"
37468,239,"GBR","United Kingdom",1,"England",57,"Luton","","","Unitary Authority","Unitary Authority"
37469,239,"GBR","United Kingdom",1,"England",58,"Manchester","","","Metropolitan Borough (city)","Metropolitan Borough (city)"
37470,239,"GBR","United Kingdom",1,"England",59,"Medway","","Medway Towns","Unitary Authority","Unitary Authority"
37471,239,"GBR","United Kingdom",1,"England",60,"Merseyside","","","Metropolitan County","Metropolitan County"
37472,239,"GBR","United Kingdom",1,"England",61,"Merton","","","London Borough","London Borough"
37473,239,"GBR","United Kingdom",1,"England",62,"Middlesbrough","","","Unitary Authority","Unitary Authority"
37474,239,"GBR","United Kingdom",1,"England",63,"Milton Keynes","","","Unitary Authority","Unitary Authority"
37475,239,"GBR","United Kingdom",1,"England",64,"Newham","","","London Borough","London Borough"
37476,239,"GBR","United Kingdom",1,"England",65,"Norfolk","","","Administrative County","Administrative County"
37477,239,"GBR","United Kingdom",1,"England",66,"North East Lincolnshire","","","Unitary Authority","Unitary Authority"
37478,239,"GBR","United Kingdom",1,"England",67,"North Lincolnshire","","","Unitary Authority","Unitary Authority"
37479,239,"GBR","United Kingdom",1,"England",68,"North Somerset","","North West Somerset","Unitary Authority","Unitary Authority"
37480,239,"GBR","United Kingdom",1,"England",69,"North Yorkshire","","","Administrative County","Administrative County"
37481,239,"GBR","United Kingdom",1,"England",70,"Northamptonshire","","","Administrative County","Administrative County"
37482,239,"GBR","United Kingdom",1,"England",71,"Northumberland","","","Administrative County","Administrative County"
37483,239,"GBR","United Kingdom",1,"England",72,"Nottingham","","","Unitary Authority (city)","Unitary Authority (city)"
37484,239,"GBR","United Kingdom",1,"England",73,"Nottinghamshire","","","Administrative County","Administrative County"
37485,239,"GBR","United Kingdom",1,"England",74,"Oxfordshire","","","Administrative County","Administrative County"
37486,239,"GBR","United Kingdom",1,"England",75,"Peterborough","","","Unitary Authority","Unitary Authority"
37487,239,"GBR","United Kingdom",1,"England",76,"Plymouth","","","Unitary Authority (city)","Unitary Authority (city)"
37488,239,"GBR","United Kingdom",1,"England",77,"Poole","","","Unitary Authority","Unitary Authority"
37489,239,"GBR","United Kingdom",1,"England",78,"Portsmouth","","","Unitary Authority (city)","Unitary Authority (city)"
37490,239,"GBR","United Kingdom",1,"England",79,"Redbridge","","","London Borough","London Borough"
37491,239,"GBR","United Kingdom",1,"England",80,"Redcar and Cleveland","","","Unitary Authority","Unitary Authority"
37492,239,"GBR","United Kingdom",1,"England",81,"Richmond upon Thames","","","London Borough","London Borough"
37493,239,"GBR","United Kingdom",1,"England",82,"Rutland","","","Unitary Authority","Unitary Authority"
37494,239,"GBR","United Kingdom",1,"England",83,"Shropshire","","Salop","Administrative County","Administrative County"
37495,239,"GBR","United Kingdom",1,"England",84,"Somerset","","","Administrative County","Administrative County"
37496,239,"GBR","United Kingdom",1,"England",85,"South Gloucestershire","","","Unitary Authority","Unitary Authority"
37497,239,"GBR","United Kingdom",1,"England",86,"South Yorkshire","","","Metropolitan County","Metropolitan County"
37498,239,"GBR","United Kingdom",1,"England",87,"Southampton","","","Unitary Authority (city)","Unitary Authority (city)"
37499,239,"GBR","United Kingdom",1,"England",88,"Southend-on-Sea","","Southend","Unitary Authority","Unitary Authority"
37500,239,"GBR","United Kingdom",1,"England",89,"Southwark","","","London Borough","London Borough"
37501,239,"GBR","United Kingdom",1,"England",90,"Staffordshire","","","Administrative County","Administrative County"
37502,239,"GBR","United Kingdom",1,"England",91,"Stockton-on-Tees","","Stockton","Unitary Authority","Unitary Authority"
37503,239,"GBR","United Kingdom",1,"England",92,"Stoke-on-Trent","","","Unitary Authority (city)","Unitary Authority (city)"
37504,239,"GBR","United Kingdom",1,"England",93,"Suffolk","","","Administrative County","Administrative County"
37505,239,"GBR","United Kingdom",1,"England",94,"Surrey","","","Administrative County","Administrative County"
37506,239,"GBR","United Kingdom",1,"England",95,"Sutton","","","London Borough","London Borough"
37507,239,"GBR","United Kingdom",1,"England",96,"Swindon","","Thamesdown","Unitary Authority","Unitary Authority"
37508,239,"GBR","United Kingdom",1,"England",97,"Telford and Wrekin","","The Wrekin, Wrekin","Unitary Authority","Unitary Authority"
37509,239,"GBR","United Kingdom",1,"England",98,"Thurrock","","","Unitary Authority","Unitary Authority"
37510,239,"GBR","United Kingdom",1,"England",99,"Torbay","","","Unitary Authority","Unitary Authority"
37511,239,"GBR","United Kingdom",1,"England",100,"Tower Hamlets","","","London Borough","London Borough"
37512,239,"GBR","United Kingdom",1,"England",101,"Tyne and Wear","","","Metropolitan County","Metropolitan County"
37513,239,"GBR","United Kingdom",1,"England",102,"Waltham Forest","","","London Borough","London Borough"
37514,239,"GBR","United Kingdom",1,"England",103,"Wandsworth","","","London Borough","London Borough"
37515,239,"GBR","United Kingdom",1,"England",104,"Warrington","","","Unitary Authority","Unitary Authority"
37516,239,"GBR","United Kingdom",1,"England",105,"Warwickshire","","","Administrative County","Administrative County"
37517,239,"GBR","United Kingdom",1,"England",106,"West Midlands","","","Metropolitan County","Metropolitan County"
37518,239,"GBR","United Kingdom",1,"England",107,"West Sussex","","","Administrative County","Administrative County"
37519,239,"GBR","United Kingdom",1,"England",108,"West Yorkshire","","","Metropolitan County","Metropolitan County"
37520,239,"GBR","United Kingdom",1,"England",109,"Westminster","","","London Borough (city)","London Borough (city)"
37521,239,"GBR","United Kingdom",1,"England",110,"Wiltshire","","","Administrative County","Administrative County"
37522,239,"GBR","United Kingdom",1,"England",111,"Worcestershire","","","Administrative County","Administrative County"
37523,239,"GBR","United Kingdom",1,"England",112,"York","","","Unitary Authority (city)","Unitary Authority (city)"
37524,239,"GBR","United Kingdom",2,"Northern Ireland",113,"Antrim","","","District","District"
37525,239,"GBR","United Kingdom",2,"Northern Ireland",114,"Ards","","","District","District"
37526,239,"GBR","United Kingdom",2,"Northern Ireland",115,"Armagh","","","District","District"
37527,239,"GBR","United Kingdom",2,"Northern Ireland",116,"Ballymena","","","District","District"
37528,239,"GBR","United Kingdom",2,"Northern Ireland",117,"Ballymoney","","","District","District"
37529,239,"GBR","United Kingdom",3,"Scotland",139,"Aberdeen","","Aberdeen City","Unitary District (city)","Unitary District (city)"
37530,239,"GBR","United Kingdom",3,"Scotland",140,"Aberdeenshire","","","Unitary District","Unitary District"
37531,239,"GBR","United Kingdom",3,"Scotland",141,"Angus","","Forfar","Unitary District","Unitary District"
37532,239,"GBR","United Kingdom",3,"Scotland",142,"Argyll and Bute","","Earra-Ghaidheal agus Bòd","Unitary District","Unitary District"
37533,239,"GBR","United Kingdom",3,"Scotland",143,"Clackmannanshire","","","Unitary District","Unitary District"
37534,239,"GBR","United Kingdom",3,"Scotland",144,"Dumfries and Galloway","","","Unitary District","Unitary District"
37535,239,"GBR","United Kingdom",3,"Scotland",145,"Dundee","","Dundee City","Unitary District (city)","Unitary District (city)"
37536,239,"GBR","United Kingdom",3,"Scotland",146,"East Ayrshire","","","Unitary District","Unitary District"
37537,239,"GBR","United Kingdom",3,"Scotland",147,"East Dunbartonshire","","","Unitary District","Unitary District"
37538,239,"GBR","United Kingdom",3,"Scotland",148,"East Lothian","","Haddington","Unitary District","Unitary District"
37539,239,"GBR","United Kingdom",3,"Scotland",149,"East Renfrewshire","","","Unitary District","Unitary District"
37540,239,"GBR","United Kingdom",3,"Scotland",150,"Edinburgh","","Édimbourg|Edimburgo","Unitary District (city)","Unitary District (city)"
37541,239,"GBR","United Kingdom",3,"Scotland",151,"Eilean Siar","","Western Isles","Island Area","Island Area"
37542,239,"GBR","United Kingdom",3,"Scotland",152,"Falkirk","","","Unitary District","Unitary District"
37543,239,"GBR","United Kingdom",3,"Scotland",153,"Fife","","","Unitary District","Unitary District"
37544,239,"GBR","United Kingdom",3,"Scotland",154,"Glasgow","","Glasgow City","Unitary District (city)","Unitary District (city)"
37545,239,"GBR","United Kingdom",3,"Scotland",155,"Highland","","","Unitary District","Unitary District"
37546,239,"GBR","United Kingdom",3,"Scotland",156,"Inverclyde","","","Unitary District","Unitary District"
37547,239,"GBR","United Kingdom",3,"Scotland",157,"Midlothian","","Edinburgh","Unitary District","Unitary District"
37548,239,"GBR","United Kingdom",3,"Scotland",158,"Moray","","Elgin","Unitary District","Unitary District"
37549,239,"GBR","United Kingdom",3,"Scotland",159,"North Ayshire","","","Unitary District","Unitary District"
37550,239,"GBR","United Kingdom",3,"Scotland",160,"North Lanarkshire","","","Unitary District","Unitary District"
37551,239,"GBR","United Kingdom",3,"Scotland",161,"Orkney Islands","","Orcadas|Orcades|Orcadi|Orkneyöarna|Orknøyene","Island Area","Island Area"
37552,239,"GBR","United Kingdom",3,"Scotland",162,"Perthshire and Kinross","","Perth and Kinross","Unitary District","Unitary District"
37553,239,"GBR","United Kingdom",3,"Scotland",163,"Renfrewshire","","","Unitary District","Unitary District"
37554,239,"GBR","United Kingdom",3,"Scotland",164,"Scottish Borders","","The Borders","Unitary District","Unitary District"
37555,239,"GBR","United Kingdom",3,"Scotland",165,"Shetland Islands","","Zetland","Island Area","Island Area"
37556,239,"GBR","United Kingdom",3,"Scotland",166,"South Ayrshire","","","Unitary District","Unitary District"
37557,239,"GBR","United Kingdom",3,"Scotland",167,"South Lanarkshire","","","Unitary District","Unitary District"
37558,239,"GBR","United Kingdom",3,"Scotland",168,"Stirling","","","Unitary District","Unitary District"
37559,239,"GBR","United Kingdom",3,"Scotland",169,"West Dunbartonshire","","Dumbarton and Clydebank","Unitary District","Unitary District"
37560,239,"GBR","United Kingdom",3,"Scotland",170,"West Lothian","","Linlithgow","Unitary District","Unitary District"
37561,239,"GBR","United Kingdom",4,"Wales",171,"Anglesey","","","Unitary Authority (wales)","Unitary Authority (wales"
37562,239,"GBR","United Kingdom",4,"Wales",172,"Blaenau Gwent","","","Unitary Authority (wales)","Unitary Authority (wales"
37563,239,"GBR","United Kingdom",4,"Wales",173,"Bridgend","","","Unitary Authority (wales)","Unitary Authority (wales"
37564,239,"GBR","United Kingdom",4,"Wales",174,"Caerphilly","","","Unitary Authority (wales)","Unitary Authority (wales"
37565,239,"GBR","United Kingdom",4,"Wales",175,"Cardiff","","","Unitary Authority (wales)","Unitary Authority (wales"
37566,239,"GBR","United Kingdom",4,"Wales",176,"Carmarthenshire","","","Unitary Authority (wales)","Unitary Authority (wales"
37567,239,"GBR","United Kingdom",4,"Wales",177,"Ceredigion","","Cardiganshire","Unitary Authority (wales)","Unitary Authority (wales"
37568,239,"GBR","United Kingdom",4,"Wales",178,"Conwy","","Aberconwy and Colwyn","Unitary Authority (wales)","Unitary Authority (wales"
37569,239,"GBR","United Kingdom",4,"Wales",179,"Denbighshire","","","Unitary Authority (wales)","Unitary Authority (wales"
37570,239,"GBR","United Kingdom",4,"Wales",180,"Flintshire","","","Unitary Authority (wales)","Unitary Authority (wales"
37571,239,"GBR","United Kingdom",4,"Wales",181,"Gwynedd","","Caernarfonshire and Merionethshire","Unitary Authority (wales)","Unitary Authority (wales"
37572,239,"GBR","United Kingdom",4,"Wales",182,"Merthyr Tydfil","","","Unitary Authority (wales)","Unitary Authority (wales"
37573,239,"GBR","United Kingdom",4,"Wales",183,"Monmouthshire","","","Unitary Authority (wales)","Unitary Authority (wales"
37574,239,"GBR","United Kingdom",4,"Wales",184,"Neath Port Talbot","","Neath and Port Talbot","Unitary Authority (wales)","Unitary Authority (wales"
37575,239,"GBR","United Kingdom",4,"Wales",185,"Newport","","","Unitary Authority (wales)","Unitary Authority (wales"
37576,239,"GBR","United Kingdom",4,"Wales",186,"Pembrokeshire","","","Unitary Authority (wales)","Unitary Authority (wales"
37577,239,"GBR","United Kingdom",4,"Wales",187,"Powys","","","Unitary Authority (wales)","Unitary Authority (wales"
37578,239,"GBR","United Kingdom",4,"Wales",188,"Rhondda, Cynon, Taff","","","Unitary Authority (wales)","Unitary Authority (wales"
37579,239,"GBR","United Kingdom",4,"Wales",189,"Swansea","","","Unitary Authority (wales)","Unitary Authority (wales"
37580,239,"GBR","United Kingdom",4,"Wales",190,"Torfaen","","","Unitary Authority (wales)","Unitary Authority (wales"
37581,239,"GBR","United Kingdom",4,"Wales",191,"Vale of Glamorgan","","","Unitary Authority (wales)","Unitary Authority (wales"
37582,239,"GBR","United Kingdom",4,"Wales",192,"Wrexham","","","Unitary Authority (wales)","Unitary Authority (wales"
